w	z	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	
0	0.02	0.06	0.07	0.03	0.09	0.10	0	0.06	0.03	0.09	0.05	0.10	0.05	0.06	0.20	0.08	0	0.19	0.09	0	0.07	0.29	0.25	0	0.32	0	0.56	0.19	0	anas_platyrhynchos	
0	0	0.04	0.05	0.03	0.01	0.08	0.03	0	0	0	0	0.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	anolis_carolinensis	
0	0.01	0.04	0.04	0.02	0.01	0.07	0	0.06	0	0.09	0.10	0	0.05	0	0	0	0	0.10	0	0.20	0	0.15	0	0	0	0	0	0	0	aptenodytes_forsteri	
0	0	0.02	0	0.01	0.01	0	0.03	0	0	0.04	0.05	0	0	0	0	0.08	0	0	0.09	0	0	0	0	0.17	0	0	0.19	0	0	both_finches	
0	0.02	0.03	0	0.05	0.02	0	0	0.03	0.03	0	0	0	0	0.06	0	0.08	0	0	0	0	0	0	0	0	0.16	0	0	0	0.21	both_finches_crow	
0	0.01	0.04	0.01	0	0.06	0	0	0	0	0.04	0	0.05	0	0.11	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	both_finches_crow_manakin	
0	0.06	0.06	0.03	0.01	0.06	0	0.06	0.11	0.21	0.13	0.25	0.15	0.10	0.23	0.20	0.08	0	0	0.18	0	0	0	0	0	0.16	0	0.38	0.58	0	columba_livia	
0	0.04	0.04	0.01	0.04	0.02	0.02	0	0	0.07	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	corvus_brachyrhynchos	
0	0.11	0.05	0.01	0.04	0.03	0.15	0.11	0.08	0	0	0.05	0.15	0.10	0.11	0	0.16	0	0	0.09	0.20	0.07	0.15	0.25	0	0	0	0	0.58	0	cuculus_canorus	
0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	egret_penguin	
0	0.05	0.02	0.01	0.04	0.02	0.02	0	0	0.03	0.09	0	0.05	0.05	0.06	0.13	0.16	0	0	0	0	0.07	0	0	0	0.32	0	0	0	0	egretta_garzetta	
0	0.02	0.02	0	0.06	0.03	0.07	0.06	0	0	0.04	0	0	0	0	0.13	0	0	0	0	0	0	0	0.25	0.35	0	0	0	0	0	g2	
0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	g3	
0	0	0	0	0	0	0.02	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	g4	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	g5	
0	0.01	0	0.01	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	g6	
0	0.02	0	0.01	0	0.01	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	g7	
0	0.02	0.03	0.01	0.03	0.21	0.07	0.09	0.06	0.03	0.09	0	0.10	0.10	0.06	0.20	0.16	0	0	0.18	0	0.21	0.15	0.25	0.17	0.16	0	0.38	0	0	gallus_gallus	
0	0	0.02	0.02	0.05	0.01	0	0	0	0.10	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	geospiza_fortis	
0	0.06	0.03	0.01	0	0	0	0.03	0.06	0.03	0	0	0.05	0	0.06	0	0	0	0	0	0	0	0.15	0	0	0.16	0	0	0	0	manacus_vitellinus	
0	0.08	0.03	0.05	0.04	0.08	0	0	0.06	0.10	0.09	0	0	0	0.17	0	0	0	0	0.36	0	0	0	0	0	0	0	0.19	0	0	neognathae	
0	0.02	0.03	0.07	0.06	0.02	0.02	0	0.03	0.03	0.04	0	0	0.05	0.06	0.07	0	0	0	0.09	0	0	0	0	0	0.16	0	0	0.19	0	struthio_camelus	
0	0.05	0.03	0.05	0.03	0	0	0	0.11	0	0	0	0.21	0.05	0	0	0	0	0	0.18	0	0	0.15	0	0	0.32	0	0	0.77	0	taeniopygia_guttata	
