w	z	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	
0	0.11	0.08	0.12	0.05	0.11	0.17	0	0.14	0.07	0.09	0.15	0.15	0.05	0.23	0.26	0.08	0	0.19	0.27	0	0.07	0.44	0	0	0.32	0.46	0.94	0.58	0	anas_platyrhynchos	
0	0.01	0.08	0.07	0.07	0.11	0.12	0.03	0.03	0.17	0	0.05	0.26	0	0.11	0	0.08	0	0	0.09	0	0	0	0	0	0	0	0	0	0	anolis_carolinensis	
0	0.01	0.06	0.05	0.01	0.01	0.07	0	0.03	0.03	0.13	0.10	0	0.05	0	0	0	0	0.10	0	0.30	0	0.15	0	0	0	0	0	0	0	aptenodytes_forsteri	
0	0.02	0.03	0.01	0.02	0.01	0.03	0.03	0	0.03	0.04	0.05	0	0	0	0	0.16	0	0	0	0.10	0.07	0	0	0	0	0	0	0.19	0	both_finches	
0	0.02	0.04	0	0.05	0.02	0	0	0.03	0.10	0	0	0.10	0	0	0.07	0.08	0	0	0.18	0	0.07	0	0	0	0.16	0	0.19	0	0.21	both_finches_crow	
0	0	0.05	0.01	0	0.06	0.02	0.03	0	0	0.09	0	0.10	0	0.17	0	0	0	0	0.09	0	0.07	0.15	0	0	0	0	0	0	0	both_finches_crow_manakin	
0	0.06	0.07	0.05	0.01	0.12	0.07	0.06	0.14	0.17	0.17	0.30	0.15	0.25	0.28	0.33	0.08	0	0	0.36	0.10	0.21	0	0.25	0.17	0.32	0	0.56	0.58	0	columba_livia	
0	0.12	0.08	0.02	0.04	0.01	0.02	0	0	0.07	0	0.05	0.05	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	corvus_brachyrhynchos	
0	0.18	0.07	0.02	0.05	0.04	0.17	0.09	0.19	0.14	0.04	0.15	0.21	0.10	0.11	0.26	0.32	0	0	0.36	0.50	0.21	0.44	0.25	0	0.32	0.46	0.19	0.77	0	cuculus_canorus	
0	0	0.01	0	0.01	0.01	0	0	0	0	0	0	0.05	0.10	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	egret_penguin	
0	0.07	0.02	0.01	0.06	0.01	0.03	0	0	0.03	0.09	0	0	0	0.11	0.13	0.24	0	0	0	0	0.14	0	0	0	0.32	0	0	0.19	0	egretta_garzetta	
0	0.02	0.01	0	0.03	0.03	0.03	0.06	0	0	0.04	0.05	0	0.05	0	0.07	0	0	0	0.09	0	0.07	0	0	0.17	0	0	0.19	0.19	0	g2	
0	0	0.01	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	g3	
0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	g4	
0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	g5	
0	0.02	0.02	0.02	0.01	0.04	0.02	0	0	0	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0.19	0.21	g6	
0	0	0	0.01	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.19	0	0	g7	
0	0.11	0.03	0.02	0.05	0.23	0.12	0.11	0.11	0.14	0.09	0	0.10	0.15	0.06	0.46	0.16	0	0	0.18	0	0.07	0.59	0.49	0.52	0.47	0	0.38	0	0.21	gallus_gallus	
0	0.04	0.04	0.02	0.05	0.02	0.02	0	0	0.07	0.04	0.05	0	0.05	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0.19	0	0.21	geospiza_fortis	
0	0.07	0.05	0	0	0.01	0	0	0.17	0.03	0	0	0.10	0.05	0.17	0	0.08	0	0	0	0	0.07	0.29	0	0	0.16	0	0.19	0	0	manacus_vitellinus	
0	0.05	0.05	0.07	0.08	0.06	0	0.06	0.03	0.14	0.13	0	0	0.05	0.06	0.13	0	0	0	0.09	0	0	0	0	0	0.16	0	0.19	0	0	neognathae	
0	0.04	0.03	0.09	0.12	0.03	0.03	0	0.06	0.07	0.04	0	0	0.15	0.17	0.07	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	struthio_camelus	
0	0.05	0.05	0.07	0.03	0.03	0.02	0	0.11	0	0	0	0.15	0.10	0	0.07	0	0	0	0.18	0.10	0.07	0.15	0	0.35	0.32	0	0.19	0.38	0.42	taeniopygia_guttata	
