z	lg2	lge22	lg5	1	1a	1b	2	3	4a	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	
0.08	0	0	0	0.06	0.10	0	0.13	0.05	0.14	0.10	0.16	0	0.10	0.07	0.07	0.05	0.05	0.05	0.18	0.24	0.07	0	0.17	0.45	0	0.06	0.50	0	0	0.37	0	0.41	0	0	anas_platyrhynchos	
0.03	0	0	0	0.08	0.11	0	0.06	0.11	0	0.16	0.18	0.08	0.20	0.25	0.07	0.05	0.09	0	0.06	0	0	0	0	0.09	0	0.13	0	0	0	0	0	0	0.22	0	anolis_carolinensis	
0	0	0	0	0.08	0.05	0	0.04	0.02	0.05	0.03	0.06	0	0.03	0	0.15	0.10	0	0.05	0	0.06	0	0	0.09	0.09	0.26	0	0.17	0	0	0	0	0	0	0	aptenodytes_forsteri	
0.08	0	0	0	0	0.01	0.92	0.01	0.02	0	0	0.11	0.03	0.03	0.04	0	0.05	0.05	0	0	0	0.14	0	0	0	0	0.06	0	0.30	0	0	0	0.41	0.22	0	both_finches	
0.03	0	0	0	0.03	0.08	0	0.01	0.05	0.10	0	0.02	0	0.03	0.11	0	0	0.05	0	0	0	0.07	0	0	0.18	0.09	0	0.17	0	0	0.12	0	0	0.22	0.20	both_finches_crow	
0.03	0	0	0	0.05	0.03	0.92	0.02	0	0.14	0.04	0	0	0	0	0	0	0.14	0	0.12	0	0	0	0	0.09	0	0	0	0	0	0	0	0.41	0	0	both_finches_crow_manakin	
0.05	0	0	0	0.08	0.08	0	0.06	0.02	0.48	0.07	0.08	0.06	0.13	0.11	0.15	0.19	0.19	0.23	0.24	0.43	0.07	0	0	0.36	0.09	0.13	0	0.30	0	0.37	0	0.20	0.43	0.40	columba_livia	
0.16	0	0	0	0.06	0.04	0	0.03	0.03	0	0.04	0.02	0	0	0.07	0.04	0.05	0.05	0	0.06	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	corvus_brachyrhynchos	
0.15	0	0	0	0.08	0.08	0	0.02	0.03	0.14	0	0.18	0.14	0.15	0.07	0.07	0.24	0.23	0.09	0.06	0.37	0.28	0	0	0.27	0.43	0.13	0.50	0.30	0	0.12	2.35	0.20	0.65	0.20	cuculus_canorus	
0.01	0	0	0	0.02	0	0	0	0.01	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60	egret_penguin	
0.08	0	0	0	0.04	0	0	0.01	0.04	0	0.03	0.05	0	0	0.04	0.07	0	0	0.09	0.12	0.12	0.21	0	0	0	0	0.13	0	0	0	0.25	0	0	0.22	0.20	egretta_garzetta	
0	0	0	0	0.01	0.01	0	0.01	0.02	0	0.03	0	0.06	0	0	0.04	0	0	0.14	0	0	0	0	0	0	0	0.06	0	0	0.16	0	0	0	0.22	0	g2	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20	g3	
0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0.16	0	0	0	0	0.20	g4	
0	0	0	0	0	0	0	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.17	0	0	0	0	0	0	0	g5	
0.04	0	0	0	0	0	0	0	0	0.05	0.06	0.02	0	0	0	0	0.05	0	0.05	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	g6	
0	0	0	0	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0.05	0.12	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	g7	
0.04	0	0	0	0.01	0.04	0	0.01	0.04	0.10	0.13	0.06	0.06	0.08	0.14	0.04	0	0.09	0	0	0.43	0.07	0	0	0.27	0	0.06	0	0	0.48	0.25	0	0.20	0	0	gallus_gallus	
0.07	0	0	0	0.04	0.03	0	0.03	0.05	0	0.06	0.02	0	0	0.07	0.04	0.05	0	0.05	0	0	0	0	0	0	0	0	0.17	0.30	0	0.12	0	0	0	0	geospiza_fortis	
0.05	0	0	0	0.07	0	0	0.01	0	0.10	0	0	0	0.10	0.04	0.04	0	0.09	0.05	0.18	0	0.07	0	0	0	0	0.06	0.17	0.30	0	0.12	0	0.20	0	0	manacus_vitellinus	
0.04	0	0	0	0.03	0.05	0	0.07	0.07	0.05	0.01	0.02	0.03	0.03	0.11	0	0	0	0.19	0.18	0.06	0.07	0	0	0.18	0	0	0	0.30	0	0.12	0	0	0	0	neognathae	
0.03	0	0	0	0.03	0.01	0	0.09	0.12	0.14	0.01	0.03	0.03	0.05	0.04	0.11	0	0	0	0.12	0.12	0	0	0	0.18	0	0.06	0	0	0	0	0	0	0	0	struthio_camelus	
0.21	0	0	0	0.04	0.08	0.92	0.06	0.04	0.05	0.11	0.03	0.08	0.10	0	0.11	0	0.14	0.09	0	0.12	0	0	0	0.18	0.17	0.06	0.17	0	0.32	0.25	0	0.20	0.43	0.60	taeniopygia_guttata	
