z	lg2	lge22	lg5	1	1a	1b	2	3	4	4a	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	
0.03	0	0	0	0.03	0.07	0	0.06	0.03	0.10	0.05	0.10	0	0.05	0.07	0.07	0.05	0.05	0.05	0.06	0.24	0.07	0	0.17	0.09	0	0.06	0.33	0	0	0.12	0	0.20	0	0	anas_platyrhynchos	
0.03	0	0	0	0.05	0.05	0	0.04	0.03	0.03	0	0.06	0.06	0.03	0.11	0.04	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	anolis_carolinensis	
0.01	0	0	0	0.04	0.05	0	0.03	0.01	0.03	0.05	0.06	0	0.05	0	0.11	0.10	0	0.05	0	0.06	0	0	0.09	0.09	0.17	0	0.17	0	0	0	0	0	0.43	0	aptenodytes_forsteri	
0.05	0	0	0	0	0	0	0.01	0.01	0.01	0	0.02	0.06	0.03	0	0	0	0.09	0	0	0	0.14	0	0	0	0	0	0.17	0	0	0	0	0.61	0	0.20	both_finches	
0.01	0	0	0	0.03	0.05	0	0	0.05	0	0.10	0.03	0	0.03	0	0	0.05	0	0	0.12	0	0.07	0	0	0.09	0	0	0.17	0	0	0	0	0	0	0	both_finches_crow	
0.01	0	0	0	0.05	0.01	0	0.01	0	0.04	0.14	0	0	0	0	0	0	0.09	0	0.06	0	0	0	0	0	0	0.06	0	0	0	0.12	0	0	0	0	both_finches_crow_manakin	
0.05	0	0	0	0.07	0.04	0	0.03	0.01	0.03	0.29	0.08	0.06	0.08	0.14	0.11	0.19	0.19	0.05	0.12	0.43	0.07	0	0	0.27	0	0.06	0	0.30	0	0.25	0	0	0	0	columba_livia	
0.10	0	0	0	0.03	0.01	0	0.01	0.02	0.03	0	0.03	0	0	0.07	0	0.05	0	0	0.06	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20	corvus_brachyrhynchos	
0.14	0	0	0	0.05	0.05	0	0.01	0.02	0	0.14	0.13	0.11	0.10	0	0.04	0.05	0.14	0.09	0.06	0.24	0.21	0	0	0.09	0.17	0.13	0.17	0.30	0	0.12	0	0.20	0.22	0.20	cuculus_canorus	
0.01	0	0	0	0.01	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60	egret_penguin	
0.04	0	0	0	0.03	0	0	0.01	0.02	0.03	0	0.02	0	0	0.04	0.07	0	0	0.05	0.06	0.12	0.14	0	0	0	0	0.06	0	0	0	0.12	0	0	0	0	egretta_garzetta	
0	0	0	0	0.01	0	0	0	0.02	0.01	0.05	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.09	0	0.13	0	0	0	0	0	0	0	0	g2	
0	0	0	0	0	0	0	0	0	0	0.10	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	g3	
0.01	0	0	0	0	0	0	0	0.01	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0.43	0	g4	
0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	g5	
0	0	0	0	0	0	0	0	0	0.01	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	g6	
0	0	0	0	0	0	0	0	0.01	0.03	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0.30	0	0	0	0	0	0	g7	
0	0	0	0	0.01	0.04	0	0.01	0.04	0.09	0.10	0.06	0.06	0.03	0.04	0.04	0	0	0	0	0.18	0.07	0	0	0.09	0	0	0	0.30	0.16	0	0	0	0.22	0	gallus_gallus	
0	0	0	0	0.02	0.03	0	0.02	0.04	0.03	0	0	0	0	0.07	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0.30	0	0	0	0	0	0	geospiza_fortis	
0.05	0	0	0	0.05	0	0	0.01	0	0	0.05	0	0	0.03	0.04	0.04	0	0.05	0	0.06	0	0	0	0	0	0	0	0.17	0	0	0	0	0.20	0	0	manacus_vitellinus	
0.14	0	0	0	0.02	0.01	0	0.06	0.04	0	0.29	0.02	0.03	0.03	0.07	0.07	0	0	0.05	0	0.06	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.40	neognathae	
0	0	0	0	0.03	0.04	0	0.06	0.08	0.01	0.05	0.02	0.03	0.03	0.07	0.04	0	0	0	0.12	0	0	0	0	0.18	0	0.06	0	0.30	0	0	0	0	0.22	0	struthio_camelus	
0.15	0	0	0	0.03	0.07	0	0.05	0.05	0.07	0.05	0	0.06	0.10	0	0.07	0	0.09	0.09	0	0.06	0	0	0	0.18	0.17	0	0.17	0	0.32	0.25	0	0.20	0	0	taeniopygia_guttata	
