lg5	lge22	lg2	z	1b	1a	1	2	3	4	4a	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	
0	0	0	0.16	0	0.10	0.07	0.15	0.06	0.10	0.14	0.19	0	0.13	0.14	0.07	0.34	0.05	0.05	0.18	0.30	0.07	0	0.17	0.54	0	0.13	0.67	0	0	0.50	0	0.41	0.22	0	anas_platyrhynchos	
0	0	0	0.05	0	0.22	0.10	0.09	0.17	0.29	0.19	0.24	0.14	0.20	0.29	0.07	0.14	0.23	0.28	0.18	0	0.28	0	0	0.09	0.09	0.19	0	0	0	0	0	0	0.22	0	anolis_carolinensis	
0	0	0	0.01	0	0.05	0.12	0.04	0.02	0.03	0.10	0.08	0	0.03	0.04	0.15	0.10	0	0.05	0	0.06	0.07	0	0	0.09	0.17	0	0.17	0	0	0	1.57	0	0.22	0	aptenodytes_forsteri	
0	0	0	0.07	0.92	0	0.02	0.01	0.02	0	0	0.11	0.03	0.05	0.11	0.04	0.05	0.09	0	0	0	0.28	0	0	0	0	0	0	0.30	0	0	0	0.41	0	0	both_finches	
0	0	0	0.01	0	0.12	0.04	0.01	0.05	0	0.10	0.03	0	0.03	0.11	0	0	0	0	0	0	0.07	0	0	0.27	0	0	0.33	0	0.16	0.12	0	0	0.22	0.20	both_finches_crow	
0	0	0	0.05	0.92	0.03	0.06	0.02	0	0.06	0.14	0	0	0	0	0	0	0.19	0	0.24	0	0	0	0	0	0.09	0.06	0	0	0	0	0	0.41	0	0.81	both_finches_crow_manakin	
0	0	0	0.08	0	0.07	0.08	0.07	0.02	0.10	0.58	0.08	0.14	0.13	0.21	0.15	0.24	0.19	0.23	0.24	0.43	0.07	0	0.17	0.45	0.09	0.19	0	0.30	0.16	0.37	0.78	0.20	0.65	0.40	columba_livia	
0	0	0	0.18	0	0.04	0.09	0.03	0.03	0.07	0	0.03	0	0	0.07	0.04	0.05	0.05	0	0.06	0.06	0	0	0	0	0	0	0	0	0	0	0.78	0	0	0	corvus_brachyrhynchos	
0	0	0	0.21	0	0.07	0.08	0.03	0.03	0.01	0.19	0.18	0.17	0.15	0.07	0.07	0.24	0.33	0.05	0.12	0.37	0.28	0	0.17	0.36	0.52	0.13	0.50	0.30	0.65	0.25	2.35	0.41	0.87	0.20	cuculus_canorus	
0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	egret_penguin	
0	0	0	0.11	0	0	0.05	0.04	0.06	0.07	0	0.06	0	0	0.04	0.11	0	0	0	0.12	0.12	0.21	0	0	0	0	0.13	0	0	0	0.25	0	0	0.22	0.20	egretta_garzetta	
0	0	0	0	0	0.01	0.01	0.01	0.01	0.03	0.05	0	0	0	0	0.07	0	0	0.14	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0.20	0.43	0	g2	
0	0	0	0	0	0	0.01	0	0	0	0	0	0.03	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	g3	
0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0	g4	
0	0	0	0	0.92	0	0.01	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	g5	
0	0	0	0	0	0	0	0	0	0.04	0.05	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	g6	
0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40	g7	
0	0	0	0.11	0	0.07	0.03	0.01	0.07	0.16	0.14	0.06	0.08	0.08	0.14	0.04	0	0.09	0.05	0	0.43	0.14	0	0	0.27	0	0.19	0.17	0	0.65	0.25	0	0.20	0	0	gallus_gallus	
0	0	0	0.12	0	0.07	0.05	0.03	0.05	0.06	0	0.03	0.06	0	0.07	0.04	0.05	0	0.05	0	0	0	0	0	0	0	0.06	0.17	0.30	0.16	0.12	0.78	0	0	0	geospiza_fortis	
0	0	0	0.05	0	0	0.06	0.02	0.02	0	0.10	0	0	0.10	0.04	0.04	0	0.09	0.05	0.18	0	0.07	0	0	0	0	0.06	0.17	0.30	0	0.12	0	0.20	0.65	0	manacus_vitellinus	
0	0	0	0.11	0	0.04	0.03	0.06	0.08	0.06	0.10	0.02	0.03	0.10	0	0.04	0	0	0.05	0.06	0.12	0	0	0.09	0	0	0.06	0	0.30	0	0	0	0	0	0	neognathae	
0	0	0	0.15	0	0.03	0.03	0.12	0.12	0.01	0.14	0.03	0.03	0.03	0.11	0.07	0.05	0	0.09	0.18	0.06	0	0	0	0.27	0	0	0	0	0	0.12	0	0	0.43	0	struthio_camelus	
0	0	0	0.19	0.92	0.08	0.05	0.07	0.04	0.10	0.05	0.02	0.08	0.13	0	0.07	0	0.19	0.09	0	0.12	0	0	0	0.18	0.17	0.13	0.17	0	0.32	0.25	0	0.41	0.22	0.60	taeniopygia_guttata	
